CP:arrondissement
H0A:None
H1A:Pointe-aux-Trembles
H7K:Auteuil, Quebec|Auteuil
H8K:None
H9K:Senneville, Quebec|Senneville
H0L:None
H1L:Mercier (Montreal)|Mercier
H2L:Centre-Sud, Quebec|Centre-Sud
H3L:Ahuntsic, Quebec|Ahuntsic
H4L:Saint-Laurent, Quebec|Saint-Laurent
H5L:None
H7L:Sainte-Rose, Quebec|Sainte-Rose
H8L:None
H9L:None
H0M:Akwesasne
H1M:Mercier (Montreal)|Mercier
H2M:Ahuntsic, Quebec|Ahuntsic
H3M:Cartierville, Quebec|Cartierville
H4M:Saint-Laurent, Quebec|Saint-Laurent
H5M:None
H7M:Vimont, Quebec|Vimont
H8M:None
H9M:None
H0N:None
H1N:Mercier (Montreal)|Mercier
H2N:Ahuntsic, Quebec|Ahuntsic
H3N:Parc-Extension, Quebec|Parc-Extension
H4N:Saint-Laurent, Quebec|Saint-Laurent
H5N:None
H7N:Laval-des-Rapides
H8N:LaSalle, Quebec|LaSalle
H9N:None
H1P:Saint-Léonard, Quebec|Saint-Léonard
H2P:Villeray, Quebec|Villeray
H3P:Mount Royal, Quebec|Mount Royal
H4P:Mount Royal, Quebec|Mount Royal
H5P:None
H7P:Fabreville, Quebec|Fabreville
H8P:LaSalle, Quebec|LaSalle
H9P:Dorval
H0R:None
H1R:Saint-Léonard, Quebec|Saint-Léonard
H2R:Villeray, Quebec|Villeray
H3R:Mount Royal, Quebec|Mount Royal
H4R:Saint-Laurent, Quebec|Saint-Laurent
H5R:None
H7R:Laval-sur-le-Lac
H8R:Ville Saint-Pierre, Quebec|Ville Saint-Pierre
H9R:Pointe-Claire
H0S:None
H1S:Saint-Léonard, Quebec|Saint-Léonard
H2S:Petite-Patrie, Quebec|Petite-Patrie
H3S:Côte-des-Neiges, Quebec|Côte-des-Neiges
H4S:Saint-Laurent, Quebec|Saint-Laurent
H5S:None
H7S:Chomedey, Quebec|Chomedey
H8S:Lachine, Quebec|Lachine
H9S:Dorval
H0T:None
H1T:Rosemont, Quebec|Rosemont
H2T:The Plateau|Plateau Mont-Royal
H3T:Côte-des-Neiges, Quebec|Côte-des-Neiges
H4T:Saint-Laurent, Quebec|Saint-Laurent
H5T:None
H7T:Chomedey, Quebec|Chomedey
H8T:Lachine, Quebec|Lachine
H9T:None
H0V:None
H1V:Maisonneuve, Quebec|Maisonneuve
H2V:Outremont, Quebec|Outremont
H3V:Côte-des-Neiges, Quebec|Côte-des-Neiges
H4V:Côte Saint-Luc
H5V:None
H7V:Chomedey, Quebec|Chomedey
H8V:None
H9V:None
H0W:None
H1W:Hochelaga, Quebec|Hochelaga
H2W:The Plateau|Plateau Mont-Royal
H3W:Côte-des-Neiges, Quebec|Côte-des-Neiges
H4W:Côte Saint-Luc
H5W:None
H7W:Chomedey, Quebec|Chomedey
H8W:None
H9W:Beaconsfield, Quebec|Beaconsfield
H0X:None
H1X:Rosemont, Quebec|Rosemont
H2X:The Plateau|Plateau Mont-Royal
H3X:Hampstead, Quebec|Hampstead
H4X:Montreal West, Quebec|Montreal West
H5X:None
H7X:Sainte-Dorothée, Quebec|Sainte-Dorothée
H8X:None
H9X:Sainte-Anne-de-Bellevue, Quebec|Sainte-Anne-De-<br>Bellevue
H0Y:None
H1Y:Rosemont, Quebec|Rosemont
H2Y:Old Montreal
H3Y:Westmount, Quebec|Westmount
H4Y:Dorval, Quebec|Dorval
H5Y:None
H7Y:Îles-Laval
H8Y:Roxboro, Quebec|Roxboro
H9Y:None
H0Z:None
H1Z:Saint-Michel, district|Saint-Michel
H2Z:Downtown Montreal
H3Z:Westmount, Quebec|Westmount
H4Z:Tour de la Bourse
H5Z:None
H7Z:None
H8Z:Pierrefonds, Quebec|Pierrefonds
H9Z:None
J1V:None
J2V:None
J3V:Saint-Bruno-de-Montarville
J4V:Greenfield Park, Quebec|Greenfield Park
J5V:Louiseville
J6V:Terrebonne, Quebec|Terrebonne
J7V:Vaudreuil-Dorion|Vaudreuil-<br>Dorion
J8V:Gatineau
J9V:Ville-Marie, Quebec|Ville-Marie
